
Sun Aug  4 06:26:38 2024
x_start = 0, dx = 100000000
N_points = 1001
(0, 0)
(100000000, 468223)
(200000000, 902462)
(300000000, 1326563)
(400000000, 1742362)
(500000000, 2154569)
(600000000, 2562029)
(700000000, 2966555)
(800000000, 3368504)
(900000000, 3768160)
(1000000000, 4164936)
(1100000000, 4559853)
(1200000000, 4954354)
(1300000000, 5346537)
(1400000000, 5738156)
(1500000000, 6128866)
(1600000000, 6517300)
(1700000000, 6904809)
(1800000000, 7291059)
(1900000000, 7676876)
(2000000000, 8060814)
(2100000000, 8444807)
(2200000000, 8827473)
(2300000000, 9209710)
(2400000000, 9591300)
(2500000000, 9971838)
(2600000000, 10352680)
(2700000000, 10732620)
(2800000000, 11111971)
(2900000000, 11490603)
(3000000000, 11868080)
(3100000000, 12244957)
(3200000000, 12622009)
(3300000000, 12998403)
(3400000000, 13374399)
(3500000000, 13750243)
(3600000000, 14123658)
(3700000000, 14497754)
(3800000000, 14871892)
(3900000000, 15245015)
(4000000000, 15617666)
(4100000000, 15990736)
(4200000000, 16364183)
(4300000000, 16735531)
(4400000000, 17107348)
(4500000000, 17478498)
(4600000000, 17849170)
(4700000000, 18219585)
(4800000000, 18589829)
(4900000000, 18959724)
(5000000000, 19329789)
(5100000000, 19698973)
(5200000000, 20067141)
(5300000000, 20436338)
(5400000000, 20804305)
(5500000000, 21172124)
(5600000000, 21540517)
(5700000000, 21907613)
(5800000000, 22274603)
(5900000000, 22641790)
(6000000000, 23008399)
(6100000000, 23374007)
(6200000000, 23739658)
(6300000000, 24105429)
(6400000000, 24470323)
(6500000000, 24836063)
(6600000000, 25200585)
(6700000000, 25565167)
(6800000000, 25930203)
(6900000000, 26294611)
(7000000000, 26659067)
(7100000000, 27023148)
(7200000000, 27386795)
(7300000000, 27749963)
(7400000000, 28112742)
(7500000000, 28475691)
(7600000000, 28837782)
(7700000000, 29200467)
(7800000000, 29562865)
(7900000000, 29925245)
(8000000000, 30288275)
(8100000000, 30650248)
(8200000000, 31011378)
(8300000000, 31373435)
(8400000000, 31734831)
(8500000000, 32094963)
(8600000000, 32455539)
(8700000000, 32816474)
(8800000000, 33176126)
(8900000000, 33536485)
(9000000000, 33896571)
(9100000000, 34257593)
(9200000000, 34617319)
(9300000000, 34977176)
(9400000000, 35336601)
(9500000000, 35696130)
(9600000000, 36055517)
(9700000000, 36414589)
(9800000000, 36772888)
(9900000000, 37131274)
(10000000000, 37490293)
(10100000000, 37848560)
(10200000000, 38206389)
(10300000000, 38563293)
(10400000000, 38921252)
(10500000000, 39279189)
(10600000000, 39637013)
(10700000000, 39995061)
(10800000000, 40352395)
(10900000000, 40708562)
(11000000000, 41065776)
(11100000000, 41423035)
(11200000000, 41780008)
(11300000000, 42135698)
(11400000000, 42492125)
(11500000000, 42848859)
(11600000000, 43205218)
(11700000000, 43561809)
(11800000000, 43917463)
(11900000000, 44273059)
(12000000000, 44627897)
(12100000000, 44983096)
(12200000000, 45338414)
(12300000000, 45693515)
(12400000000, 46049368)
(12500000000, 46405001)
(12600000000, 46760031)
(12700000000, 47114662)
(12800000000, 47470959)
(12900000000, 47825288)
(13000000000, 48180076)
(13100000000, 48534260)
(13200000000, 48889422)
(13300000000, 49244024)
(13400000000, 49598380)
(13500000000, 49952599)
(13600000000, 50306216)
(13700000000, 50660605)
(13800000000, 51013814)
(13900000000, 51366847)
(14000000000, 51720131)
(14100000000, 52073022)
(14200000000, 52426785)
(14300000000, 52780604)
(14400000000, 53134550)
(14500000000, 53487999)
(14600000000, 53840792)
(14700000000, 54193386)
(14800000000, 54546455)
(14900000000, 54898748)
(15000000000, 55250330)
(15100000000, 55602918)
(15200000000, 55955807)
(15300000000, 56308392)
(15400000000, 56661389)
(15500000000, 57012745)
(15600000000, 57365462)
(15700000000, 57718365)
(15800000000, 58069923)
(15900000000, 58421198)
(16000000000, 58772826)
(16100000000, 59124565)
(16200000000, 59476212)
(16300000000, 59826734)
(16400000000, 60177648)
(16500000000, 60528904)
(16600000000, 60880094)
(16700000000, 61230596)
(16800000000, 61582167)
(16900000000, 61933361)
(17000000000, 62284979)
(17100000000, 62635427)
