
Sun Aug  4 06:26:38 2024
x_start = 0, dx = 100000000
N_points = 1001
(0, 0.0)
(100000000, -306598.8227363084)
(200000000, -556143.4903106632)
(300000000, -764567.5595483374)
(400000000, -995866.1353245738)
(500000000, -1176439.5938227305)
(600000000, -1372115.541890862)
(700000000, -1560234.2622059633)
(800000000, -1742948.9755763556)
(900000000, -1917438.5209629086)
(1000000000, -2113818.876074078)
(1100000000, -2310274.1945889085)
(1200000000, -2458585.6723965225)
(1300000000, -2636322.724618558)
(1400000000, -2790829.524950927)
(1500000000, -2930920.982727393)
(1600000000, -3099992.614396544)
(1700000000, -3258743.395537077)
(1800000000, -3433235.8835878265)
(1900000000, -3583598.9798251833)
(2000000000, -3763927.333239085)
(2100000000, -3919421.7749546845)
(2200000000, -4090192.9210330145)
(2300000000, -4239729.138375725)
(2400000000, -4384072.9573122375)
(2500000000, -4544889.171581665)
(2600000000, -4675567.049812378)
(2700000000, -4805857.2350113075)
(2800000000, -4930920.182559399)
(2900000000, -5075847.044112794)
(3000000000, -5224018.688187167)
(3100000000, -5376415.212074953)
(3200000000, -5513504.74154477)
(3300000000, -5642872.422769069)
(3400000000, -5777911.069295527)
(3500000000, -5890135.599525656)
(3600000000, -6072031.784298358)
(3700000000, -6216613.339051941)
(3800000000, -6348829.9248023955)
(3900000000, -6500386.645348921)
(4000000000, -6645653.015942378)
(4100000000, -6768194.297318525)
(4200000000, -6859783.506003147)
(4300000000, -7011525.195770802)
(4400000000, -7134190.372213115)
(4500000000, -7258632.8557181815)
(4600000000, -7394642.302996517)
(4700000000, -7525744.739653421)
(4800000000, -7644516.417443654)
(4900000000, -7770670.9280409105)
(5000000000, -7881203.138421289)
(5100000000, -8010539.546462527)
(5200000000, -8158415.590179635)
(5300000000, -8265038.944793109)
(5400000000, -8394741.398058882)
(5500000000, -8532337.74287953)
(5600000000, -8640725.322223332)
(5700000000, -8778488.187259534)
(5800000000, -8907177.449991647)
(5900000000, -9013746.97784346)
(6000000000, -9140708.252705157)
(6100000000, -9290599.558436548)
(6200000000, -9427944.788975803)
(6300000000, -9557063.090304587)
(6400000000, -9704097.64780048)
(6500000000, -9802546.587311534)
(6600000000, -9952680.901683448)
(6700000000, -10090113.749368457)
(6800000000, -10190026.814225415)
(6900000000, -10303589.90212582)
(7000000000, -10425419.129626138)
(7100000000, -10544251.700782722)
(7200000000, -10659496.146698998)
(7300000000, -10783700.560978597)
(7400000000, -10920412.202176156)
(7500000000, -11038800.334980397)
(7600000000, -11176816.075757014)
(7700000000, -11291187.744858066)
(7800000000, -11409437.488950942)
(7900000000, -11529316.550473556)
(8000000000, -11622831.120048726)
(8100000000, -11741891.914333014)
(8200000000, -11885266.813577289)
(8300000000, -11984947.496962428)
(8400000000, -12105170.263496587)
(8500000000, -12261446.239944413)
(8600000000, -12390911.38835733)
(8700000000, -12499019.023617275)
(8800000000, -12648808.2062592)
(8900000000, -12772591.440359857)
(9000000000, -12897602.355115494)
(9100000000, -12989870.179457275)
(9200000000, -13102015.49783023)
(9300000000, -13224685.299988654)
(9400000000, -13344518.443495242)
(9500000000, -13451604.381146464)
(9600000000, -13560679.678593213)
(9700000000, -13688803.652019005)
(9800000000, -13826817.786747014)
(9900000000, -13963048.829869138)
(10000000000, -14061062.721306667)
(10100000000, -14189830.56087791)
(10200000000, -14320367.492249971)
(10300000000, -14482045.322710875)
(10400000000, -14596233.028480329)
(10500000000, -14711052.650729047)
(10600000000, -14823334.050959578)
(10700000000, -14928426.123085719)
(10800000000, -15046989.212907543)
(10900000000, -15199995.025217447)
(11000000000, -15320834.747473856)
(11100000000, -15420486.023184374)
(11200000000, -15537988.940227907)
(11300000000, -15682486.388131425)
